# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 235:         4.781       52.928       1.20  DE KOOY
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 344:         4.447       51.962      -4.30  ROTTERDAM
#
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag);
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT;
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
#
# STN,YYYYMMDD,   HH,    T
#
  235,19930516,    1,   94
  235,19930516,    2,   96
  235,19930516,    3,   91
  235,19930516,    4,   95
  235,19930516,    5,   96
  235,19930516,    6,  109
  235,19930516,    7,  116
  235,19930516,    8,  122
  235,19930516,    9,  127
  235,19930516,   10,  137
  235,19930516,   11,  146
  235,19930516,   12,  149
  235,19930516,   13,  155
  235,19930516,   14,  161
  235,19930516,   15,  153
  235,19930516,   16,  149
  235,19930516,   17,  145
  235,19930516,   18,  139
  235,19930516,   19,  132
  235,19930516,   20,  122
  235,19930516,   21,  128
  235,19930516,   22,  121
  235,19930516,   23,  114
  235,19930516,   24,  113
  260,19930516,    1,   62
  260,19930516,    2,   59
  260,19930516,    3,   53
  260,19930516,    4,   53
  260,19930516,    5,   65
  260,19930516,    6,   93
  260,19930516,    7,  111
  260,19930516,    8,  125
  260,19930516,    9,  138
  260,19930516,   10,  152
  260,19930516,   11,  152
  260,19930516,   12,  163
  260,19930516,   13,  172
  260,19930516,   14,  170
  260,19930516,   15,  184
  260,19930516,   16,  182
  260,19930516,   17,  171
  260,19930516,   18,  166
  260,19930516,   19,  148
  260,19930516,   20,  126
  260,19930516,   21,  122
  260,19930516,   22,  106
  260,19930516,   23,  108
  260,19930516,   24,  108
  285,19930516,    1,
  285,19930516,    2,
  285,19930516,    3,
  285,19930516,    4,
  285,19930516,    5,
  285,19930516,    6,
  285,19930516,    7,
  285,19930516,    8,
  285,19930516,    9,
  285,19930516,   10,
  285,19930516,   11,
  285,19930516,   12,
  285,19930516,   13,
  285,19930516,   14,
  285,19930516,   15,
  285,19930516,   16,
  285,19930516,   17,
  285,19930516,   18,
  285,19930516,   19,
  285,19930516,   20,
  285,19930516,   21,
  285,19930516,   22,
  285,19930516,   23,
  285,19930516,   24,
  344,19930516,    1,   80
  344,19930516,    2,   80
  344,19930516,    3,   76
  344,19930516,    4,   76
  344,19930516,    5,   81
  344,19930516,    6,   90
  344,19930516,    7,  117
  344,19930516,    8,  130
  344,19930516,    9,  141
  344,19930516,   10,  159
  344,19930516,   11,  166
  344,19930516,   12,  169
  344,19930516,   13,  163
  344,19930516,   14,  168
  344,19930516,   15,  168
  344,19930516,   16,  167
  344,19930516,   17,  165
  344,19930516,   18,  157
  344,19930516,   19,  152
  344,19930516,   20,  136
  344,19930516,   21,  137
  344,19930516,   22,  132
  344,19930516,   23,  132
  344,19930516,   24,  131
